figure,problem,metric,method,seeds,n_runs,final_iteration,final_mean,final_std,final_sem,final_mean_minus_sem,final_mean_plus_sem,source_dir,source_files
klein_gordon_convergence,Klein-Gordon,linf,RBA-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,4.9849687930e-02,3.9858228979e-02,1.2604278708e-02,3.7245409222e-02,6.2453966638e-02,KG\Reproducible,losses_kg_rba_1018.txt losses_kg_rba_1234.txt losses_kg_rba_2048.txt losses_kg_rba_2341.txt losses_kg_rba_3624.txt losses_kg_rba_3899.txt losses_kg_rba_4123.txt losses_kg_rba_4396.txt losses_kg_rba_5231.txt losses_kg_rba_5472.txt
klein_gordon_convergence,Klein-Gordon,linf,C-LoReW-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,6.5203447900e-03,1.6316972980e-03,5.1598799135e-04,6.0043567987e-03,7.0363327813e-03,KG\Reproducible,losses_kg_clorew_pinn_1018.txt losses_kg_clorew_pinn_1234.txt losses_kg_clorew_pinn_2048.txt losses_kg_clorew_pinn_2341.txt losses_kg_clorew_pinn_3624.txt losses_kg_clorew_pinn_3899.txt losses_kg_clorew_pinn_4123.txt losses_kg_clorew_pinn_4396.txt losses_kg_clorew_pinn_5231.txt losses_kg_clorew_pinn_5472.txt
burgers_convergence,Burgers,l2,Vanilla PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,1.7913538690e-02,1.2727506079e-02,4.0247908143e-03,1.3888747876e-02,2.1938329504e-02,Burgers\Reproducible,losses_burgers_pinn_1018.txt losses_burgers_pinn_1234.txt losses_burgers_pinn_2026.txt losses_burgers_pinn_2566.txt losses_burgers_pinn_3412.txt losses_burgers_pinn_3872.txt losses_burgers_pinn_4123.txt losses_burgers_pinn_4256.txt losses_burgers_pinn_5483.txt losses_burgers_pinn_5555.txt
burgers_convergence,Burgers,l2,SA-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,9.6109717100e-03,8.0533313464e-03,2.5466869807e-03,7.0642847293e-03,1.2157658691e-02,Burgers\Reproducible,losses_burgers_sa_1018.txt losses_burgers_sa_1234.txt losses_burgers_sa_2026.txt losses_burgers_sa_2566.txt losses_burgers_sa_3412.txt losses_burgers_sa_3872.txt losses_burgers_sa_4123.txt losses_burgers_sa_4256.txt losses_burgers_sa_5483.txt losses_burgers_sa_5555.txt
burgers_convergence,Burgers,l2,RBA-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,1.2019693900e-02,2.5375149250e-03,8.0243267598e-04,1.1217261224e-02,1.2822126576e-02,Burgers\Reproducible,losses_burgers_rba_1018.txt losses_burgers_rba_1234.txt losses_burgers_rba_2026.txt losses_burgers_rba_2566.txt losses_burgers_rba_3412.txt losses_burgers_rba_3872.txt losses_burgers_rba_4123.txt losses_burgers_rba_4256.txt losses_burgers_rba_5483.txt losses_burgers_rba_5555.txt
burgers_convergence,Burgers,l2,C-LoReW-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,4.0182799200e-03,1.1099303181e-03,3.5099078491e-04,3.6672891351e-03,4.3692707049e-03,Burgers\Reproducible,losses_burgers_clorew_pinn_1018.txt losses_burgers_clorew_pinn_1234.txt losses_burgers_clorew_pinn_2026.txt losses_burgers_clorew_pinn_2566.txt losses_burgers_clorew_pinn_3412.txt losses_burgers_clorew_pinn_3872.txt losses_burgers_clorew_pinn_4123.txt losses_burgers_clorew_pinn_4256.txt losses_burgers_clorew_pinn_5483.txt losses_burgers_clorew_pinn_5555.txt
burgers_convergence,Burgers,linf,Vanilla PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,1.5672699725e-01,1.1587124163e-01,3.6641703888e-02,1.2008529336e-01,1.9336870114e-01,Burgers\Reproducible,losses_burgers_pinn_1018.txt losses_burgers_pinn_1234.txt losses_burgers_pinn_2026.txt losses_burgers_pinn_2566.txt losses_burgers_pinn_3412.txt losses_burgers_pinn_3872.txt losses_burgers_pinn_4123.txt losses_burgers_pinn_4256.txt losses_burgers_pinn_5483.txt losses_burgers_pinn_5555.txt
burgers_convergence,Burgers,linf,SA-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,9.7670045530e-02,8.5543804017e-02,2.7051326041e-02,7.0618719489e-02,1.2472137157e-01,Burgers\Reproducible,losses_burgers_sa_1018.txt losses_burgers_sa_1234.txt losses_burgers_sa_2026.txt losses_burgers_sa_2566.txt losses_burgers_sa_3412.txt losses_burgers_sa_3872.txt losses_burgers_sa_4123.txt losses_burgers_sa_4256.txt losses_burgers_sa_5483.txt losses_burgers_sa_5555.txt
burgers_convergence,Burgers,linf,RBA-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,1.3836607487e-01,3.7408744224e-02,1.1829683615e-02,1.2653639125e-01,1.5019575849e-01,Burgers\Reproducible,losses_burgers_rba_1018.txt losses_burgers_rba_1234.txt losses_burgers_rba_2026.txt losses_burgers_rba_2566.txt losses_burgers_rba_3412.txt losses_burgers_rba_3872.txt losses_burgers_rba_4123.txt losses_burgers_rba_4256.txt losses_burgers_rba_5483.txt losses_burgers_rba_5555.txt
burgers_convergence,Burgers,linf,C-LoReW-PINN,1018 1234 2026 2566 3412 3872 4123 4256 5483 5555,10,40000,4.1213491210e-02,2.1467248794e-02,6.7885401287e-03,3.4424951081e-02,4.8002031339e-02,Burgers\Reproducible,losses_burgers_clorew_pinn_1018.txt losses_burgers_clorew_pinn_1234.txt losses_burgers_clorew_pinn_2026.txt losses_burgers_clorew_pinn_2566.txt losses_burgers_clorew_pinn_3412.txt losses_burgers_clorew_pinn_3872.txt losses_burgers_clorew_pinn_4123.txt losses_burgers_clorew_pinn_4256.txt losses_burgers_clorew_pinn_5483.txt losses_burgers_clorew_pinn_5555.txt
allen_cahn_convergence,Allen-Cahn,l2,Vanilla PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,4.3387375237e-01,1.0952860125e-01,3.4635984888e-02,3.9923776748e-01,4.6850973726e-01,AC\Reproducible,losses_pinn_fourier_1018.txt losses_pinn_fourier_1234.txt losses_pinn_fourier_2428.txt losses_pinn_fourier_2832.txt losses_pinn_fourier_3542.txt losses_pinn_fourier_3625.txt losses_pinn_fourier_4235.txt losses_pinn_fourier_4864.txt losses_pinn_fourier_5483.txt losses_pinn_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,l2,SA-PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,4.9127029600e-03,5.2659256456e-03,1.6652319029e-03,3.2474710571e-03,6.5779348629e-03,AC\Reproducible,losses_sa_fourier_1018.txt losses_sa_fourier_1234.txt losses_sa_fourier_2428.txt losses_sa_fourier_2832.txt losses_sa_fourier_3542.txt losses_sa_fourier_3625.txt losses_sa_fourier_4235.txt losses_sa_fourier_4864.txt losses_sa_fourier_5483.txt losses_sa_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,l2,RBA-PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,3.5614257000e-03,4.5613272511e-03,1.4424183267e-03,2.1190073733e-03,5.0038440267e-03,AC\Reproducible,losses_rba_fourier_1018.txt losses_rba_fourier_1234.txt losses_rba_fourier_2428.txt losses_rba_fourier_2832.txt losses_rba_fourier_3542.txt losses_rba_fourier_3625.txt losses_rba_fourier_4235.txt losses_rba_fourier_4864.txt losses_rba_fourier_5483.txt losses_rba_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,l2,C-LoReW-PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,4.2168719000e-04,8.6341792763e-05,2.7303672239e-05,3.9438351776e-04,4.4899086224e-04,AC\Reproducible,losses_clorew_pinn_fourier_1018.txt losses_clorew_pinn_fourier_1234.txt losses_clorew_pinn_fourier_2428.txt losses_clorew_pinn_fourier_2832.txt losses_clorew_pinn_fourier_3542.txt losses_clorew_pinn_fourier_3625.txt losses_clorew_pinn_fourier_4235.txt losses_clorew_pinn_fourier_4864.txt losses_clorew_pinn_fourier_5483.txt losses_clorew_pinn_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,linf,Vanilla PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,1.6436593122e+00,4.1359790695e-01,1.3079114214e-01,1.5128681701e+00,1.7744504544e+00,AC\Reproducible,losses_pinn_fourier_1018.txt losses_pinn_fourier_1234.txt losses_pinn_fourier_2428.txt losses_pinn_fourier_2832.txt losses_pinn_fourier_3542.txt losses_pinn_fourier_3625.txt losses_pinn_fourier_4235.txt losses_pinn_fourier_4864.txt losses_pinn_fourier_5483.txt losses_pinn_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,linf,SA-PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,6.9713857930e-02,1.0581367525e-01,3.3461222138e-02,3.6252635792e-02,1.0317508007e-01,AC\Reproducible,losses_sa_fourier_1018.txt losses_sa_fourier_1234.txt losses_sa_fourier_2428.txt losses_sa_fourier_2832.txt losses_sa_fourier_3542.txt losses_sa_fourier_3625.txt losses_sa_fourier_4235.txt losses_sa_fourier_4864.txt losses_sa_fourier_5483.txt losses_sa_fourier_5656.txt
allen_cahn_convergence,Allen-Cahn,linf,RBA-PINN,1018 1234 2428 2832 3542 3625 4235 4864 5483 5656,10,300000,3.3080512120e-02,3.8987565230e-02,1.2328950655e-02,2.0751561465e-02,4.5409462775e-02,AC\Reproducible,losses_rba_fourier_1018.txt losses_rba_fourier_1234.txt losses_rba_fourier_2428.txt losses_rba_fourier_2832.txt losses_rba_fourier_3542.txt losses_rba_fourier_3625.txt losses_rba_fourier_4235.txt losses_rba_fourier_4864.txt losses_rba_fourier_5483.txt losses_rba_fourier_5656.txt
